ลำดับ,ชื่อไทย,ชื่ออังกฤษ,หมวด,URL_รูปภาพ(วางตรงนี้)
47,"ขนมจีนน้ำยา","Khanom Jeen",thai,
48,"ไก่ย่าง","Grilled Chicken Thai",thai,
49,"หมูปิ้ง","Pork Skewer",thai,
50,"แกงเลียง","Liang Curry",thai,
51,"ยำวุ้นเส้น","Glass Noodle Salad",thai,
52,"เทมปุระ","Tempura",japanese,
53,"ออนิกิริ","Onigiri",japanese,
54,"ทาโกะยากิ","Takoyaki",japanese,
55,"มิโสะซุป","Miso Soup",japanese,
56,"ต๊อกบกกี","Tteokbokki",korean,
57,"ซัมเกียวซัล","Samgyeopsal",korean,
58,"เป็ดย่าง","Roast Duck",chinese,
59,"หมูแดง","Char Siu",chinese,
60,"ลาซานญ่า","Lasagna",italian,
61,"ริซอตโต้","Risotto",italian,
62,"บริยานี","Biryani",indian,
63,"ดัล","Dal",indian,
64,"แซนด์วิช","Sandwich",fastfood,
65,"ฮอทดอก","Hot Dog",fastfood,
66,"นักเก็ตไก่","Chicken Nuggets",fastfood,
67,"ทาโก้","Taco",fastfood,
68,"ไข่ต้ม","Boiled Egg",healthy,
69,"อกไก่ต้ม","Boiled Chicken Breast",healthy,
70,"สลัดทูน่า","Tuna Salad",healthy,
71,"อะโวคาโด","Avocado",healthy,
72,"อัลมอนด์","Almonds",healthy,
73,"ควินัว","Quinoa",healthy,
74,"น้ำเปล่า","Water",drink,
75,"น้ำส้ม","Orange Juice",drink,
76,"สมูทตี้","Smoothie",drink,
77,"กาแฟเย็น","Iced Coffee",drink,
78,"น้ำอัดลม","Soda",drink,
79,"นมจืด","Plain Milk",drink,
80,"ข้าวเหนียวมะม่วง","Mango Sticky Rice",dessert,
81,"บัวลอย","Bua Loy",dessert,
82,"ทับทิมกรอบ","Tub Tim Krob",dessert,
83,"ไอติม","Ice Cream",dessert,
84,"เค้กช็อกโกแลต","Chocolate Cake",dessert,
85,"โดนัท","Donut",dessert,
86,"พุดดิ้ง","Pudding",dessert,
87,"มาการอง","Macaron",dessert,
88,"กล้วยหอม","Banana",fruit,
89,"แอปเปิ้ล","Apple",fruit,
90,"ส้ม","Orange",fruit,
91,"สับปะรด","Pineapple",fruit,
92,"มะม่วงสุก","Mango",fruit,
93,"แตงโม","Watermelon",fruit,
94,"สตรอเบอร์รี่","Strawberry",fruit,
95,"องุ่น","Grapes",fruit,
96,"มะละกอ","Papaya",fruit,
97,"กุ้งย่าง","Grilled Shrimp",seafood,
98,"ปลาหมึกย่าง","Grilled Squid",seafood,
99,"หอยแมลงภู่อบ","Steamed Mussels",seafood,
100,"ปลานึ่งมะนาว","Steamed Lime Fish",seafood,
101,"ปูผัดผงกะหรี่","Curry Crab",seafood,
102,"ป๊อปคอร์น","Popcorn",snack,
103,"มันฝรั่งทอด","Potato Chips",snack,
104,"ช็อกโกแลตบาร์","Chocolate Bar",snack,
105,"คุกกี้","Cookie",snack,
106,"บิสกิต","Biscuit",snack,
107,"ผัดผักรวม","Mixed Veggies",veggie,
108,"สลัดผัก","Garden Salad",veggie,
109,"บล็อกโคลี่นึ่ง","Steamed Broccoli",veggie,
110,"ข้าวโพดต้ม","Boiled Corn",veggie,
111,"ข้าวขาหมู","Stewed Pork Leg Rice",thai,
112,"ข้าวหมูแดง","Red Pork Rice",thai,
113,"ข้าวหมูกรอบ","Crispy Pork Rice",thai,
114,"ผัดมาม่า","Stir-fried Instant Noodles",thai,
115,"ก๋วยจั๊บ","Kuay Jub",thai,
116,"ข้าวคลุกกะปิ","Shrimp Paste Rice",thai,
117,"หมูสะเต๊ะ","Pork Satay",thai,
118,"ขนมจีบ","Steamed Dumpling",thai,
119,"ไข่เจียวหมูสับ","Thai Omelet w/ Pork",thai,
120,"ผัดผักบุ้ง","Stir-fried Morning Glory",thai,
121,"ยำมาม่า","Spicy Noodle Salad",thai,
122,"ขนมปังปิ้งสังขยา","Sangkaya Toast",dessert,
123,"KFC ไก่ทอด 1 ชิ้น","KFC Fried Chicken (1pc)",fastfood,
124,"McDonald's บิ๊กแม็ค","McDonald's Big Mac",fastfood,
125,"7-11 ไส้กรอกอีสาน","7-11 Isaan Sausage",fastfood,
126,"7-11 ข้าวกะเพราหมู","7-11 Basil Pork Rice",fastfood,
127,"Starbucks ลาเต้ Grande","Starbucks Latte (Grande)",drink,
128,"ชาไทย","Thai Iced Tea",drink,
129,"อกไก่ย่าง 100g","Grilled Chicken Breast 100g",healthy,
130,"ปลาทูน่ากระป๋อง","Canned Tuna (water)",healthy,
131,"เต้าหู้ขาว","Soft Tofu",healthy,
132,"ราดหน้า","Rad Na",thai,
133,"ผัดขี้เมา","Drunken Noodles",thai,
134,"ข้าวหน้าเป็ด","Duck Rice",thai,
135,"สุกี้น้ำ","Suki (soup)",thai,
136,"สุกี้แห้ง","Suki (dry)",thai,
137,"เย็นตาโฟ","Yen Ta Fo",thai,
138,"แกงไตปลา","Tai Pla Curry",thai,
139,"ขนมจีนน้ำพริก","Khanom Jeen Nam Prik",thai,
140,"ทอดมันปลา","Fish Cake (Thai)",thai,
141,"ปาท่องโก๋","Pa Tong Ko",thai,
142,"ขนมครก","Khanom Krok",thai,
143,"หมูทอดกระเทียม","Garlic Fried Pork",thai,
144,"Bonchon ไก่ทอด 4 ชิ้น","Bonchon Wings 4pc",fastfood,
145,"Subway 6-inch Turkey","Subway 6"" Turkey",fastfood,
146,"Yayoi ไก่ทอดเทอริยากิ","Yayoi Chicken Teriyaki Set",fastfood,
147,"MK สุกี้ลูกชิ้นกุ้ง 1 ลูก","MK Shrimp Ball (1pc)",fastfood,
148,"CP ไส้กรอกหมู 1 อัน","CP Pork Sausage (1pc)",fastfood,
149,"โกโก้ร้อน","Hot Cocoa",drink,
150,"เอสเปรสโซ่","Espresso (single)",drink,
151,"อเมริกาโน่","Americano",drink,
152,"น้ำมะนาว","Limeade",drink,
153,"น้ำเก็กฮวย","Chrysanthemum Tea",drink,
154,"ไข่ขาว 3 ฟอง","Egg Whites (3)",healthy,
155,"อะโวคาโดโทสต์","Avocado Toast",healthy,
156,"สโมว์ที่โบว์ล","Smoothie Bowl",healthy,
157,"มูสลี่ + นม","Muesli with Milk",healthy,
158,"พาเนีย เคก","Banana Cake",dessert,
159,"ถั่วลิสงคั่ว","Roasted Peanuts",snack,
160,"งาดำคั่ว","Black Sesame Roasted",snack,
161,"แครกเกอร์โฮลวีต","Whole Wheat Crackers",snack,
162,"ลาบหมู","Larb Moo",thai,
163,"น้ำตกหมู","Nam Tok Moo",thai,
164,"ยำวุ้นเส้น","Yum Woon Sen",thai,
165,"คั่วกลิ้งหมู","Kua Kling Moo",thai,
166,"แกงมัสมั่นไก่","Massaman Chicken Curry",thai,
167,"แกงเหลือง","Yellow Curry (Southern)",thai,
168,"แกงส้มกุ้ง","Sour Curry w/ Shrimp",thai,
169,"แกงเลียง","Gaeng Liang",thai,
170,"ผัดซีอิ๊ว","Pad See Ew",thai,
171,"ผัดวุ้นเส้น","Stir-fried Glass Noodles",thai,
172,"ขนมจีนน้ำยา","Khanom Jeen Nam Ya",thai,
173,"กล้วยทอด","Fried Banana",thai,
174,"ปลานึ่งซีอิ๊ว","Steamed Soy Sauce Fish",thai,
175,"หมูปิ้ง (1 ไม้)","Pork Skewer (1 stick)",thai,
176,"ไก่ย่าง (น่อง)","Grilled Chicken (drumstick)",thai,
177,"ทาโกะยากิ (6 ลูก)","Takoyaki (6 pcs)",japanese,
178,"โอนิกิริ","Onigiri",japanese,
179,"เทมปุระรวม","Mixed Tempura",japanese,
180,"คัตสึด้ง","Katsudon",japanese,
181,"โอยาโกะด้ง","Oyakodon",japanese,
182,"โซบะเย็น","Cold Soba",japanese,
183,"มิโซะซุป","Miso Soup",japanese,
184,"ชาบุชาบุ","Shabu Shabu (1 portion)",japanese,
185,"ตอกบกี","Tteokbokki",korean,
186,"ซัมเกียบซัล","Samgyeopsal (3 slices)",korean,
187,"ซุนดูบุชิเก","Sundubu Jjigae",korean,
188,"จาจังเมี้ยน","Jajangmyeon",korean,
189,"คิมบับ","Kimbap (1 roll)",korean,
190,"ข้าวเป็ดย่าง","Roast Duck Rice",chinese,
191,"ก๋วยเตี๋ยวเรือ","Boat Noodles",chinese,
192,"ผัดฉ่า","Pad Cha (spicy)",chinese,
193,"ลูกชิ้นเนื้อ (5 ลูก)","Beef Meatballs (5)",chinese,
194,"ผัดขิงหมู","Pork Stir-fry w/ Ginger",chinese,
195,"ลาซานญ่า","Lasagna",italian,
196,"ริซอตโต้","Risotto",italian,
197,"ราวีโอลี่","Ravioli",italian,
198,"คาลโซเน่","Calzone",italian,
199,"ทันดูรี่ไก่","Tandoori Chicken",indian,
200,"ไบรยานี","Biryani",indian,
201,"แกงดาล","Dal Curry",indian,
202,"แฮมเบอร์เกอร์","Hamburger",fastfood,
203,"ฮอตด็อก","Hot Dog",fastfood,
204,"เฟรนช์ฟรายส์ M","French Fries (M)",fastfood,
205,"ฟาฮิต้าไก่","Chicken Fajita",fastfood,
206,"เบอริโต","Burrito",fastfood,
207,"แท็โก้","Taco",fastfood,
208,"คลับแซนวิช","Club Sandwich",fastfood,
209,"ชิคเก้นนักเก็ต (10 ชิ้น)","Chicken Nuggets (10pc)",fastfood,
210,"ไก่ต้มฉีก","Boiled Shredded Chicken",healthy,
211,"ปลาแซลมอนย่าง","Grilled Salmon",healthy,
212,"ทูน่าสเต็ก","Tuna Steak",healthy,
213,"ไก่ย่างเทอริยากิ","Teriyaki Chicken",healthy,
214,"โปรตีนบาร์","Protein Bar",healthy,
215,"กรีกโยเกิร์ต","Greek Yogurt",healthy,
216,"เนื้อสันใน","Beef Tenderloin",healthy,
217,"ไข่ต้ม 2 ฟอง","Boiled Eggs (2)",healthy,
218,"ชานมไข่มุก","Bubble Milk Tea",drink,
219,"กาแฟเย็น","Iced Coffee w/ Milk",drink,
220,"มัทฉะลาเต้","Matcha Latte",drink,
221,"น้ำผลไม้สด","Fresh Fruit Juice",drink,
222,"น้ำมะพร้าวอ่อน","Coconut Water",drink,
223,"นมจืด","Plain Milk",drink,
224,"โซดาไดเอท","Diet Soda",drink,
225,"น้ำอัดลม","Soda",drink,
226,"ข้าวเหนียวมะม่วง","Mango Sticky Rice",dessert,
227,"บัวลอย","Bua Loy",dessert,
228,"เครป","Crepe",dessert,
229,"ทุเรียน","Durian (1 piece)",fruit,
230,"ปลาแซลมอนซาชิมิ","Salmon Sashimi (5 pcs)",seafood,
231,"หอยลายผัดฉ่า","Stir-fried Clams",seafood,
232,"แกงเขียวหวานไก่","Green Curry Chicken",thai,
233,"แกงเขียวหวานเนื้อ","Green Curry Beef",thai,
234,"แกงเขียวหวานลูกชิ้นปลา","Green Curry w/ Fish Balls",thai,
235,"แกงเผ็ดหมู","Red Curry Pork",thai,
236,"แกงเผ็ดเป็ดย่าง","Roast Duck Red Curry",thai,
237,"พะแนงไก่","Panang Chicken",thai,
238,"พะแนงเนื้อ","Panang Beef",thai,
239,"มัสมั่นไก่","Massaman Chicken",thai,
240,"มัสมั่นเนื้อ","Massaman Beef",thai,
241,"แกงกะหรี่ไก่","Yellow Curry Chicken",thai,
242,"แกงส้มกุ้งผักรวม","Sour Curry w/ Shrimp",thai,
243,"แกงเลียงกุ้งสด","Gaeng Liang w/ Shrimp",thai,
244,"แกงป่าไก่","Jungle Curry Chicken",thai,
245,"แกงไตปลา","Gaeng Tai Pla",thai,
246,"แกงหน่อไม้","Bamboo Shoot Curry",thai,
247,"แกงฮังเล","Gaeng Hung Lay",thai,
248,"แกงโฮะ","Gaeng Hoh",thai,
249,"ข้าวซอยไก่","Khao Soi Chicken",thai,
250,"น้ำพริกอ่องผักสด","Nam Prik Ong w/ Veg",thai,
251,"น้ำพริกหนุ่มแคบหมู","Nam Prik Num w/ Pork Rind",thai,
252,"น้ำพริกกะปิผักลวก","Shrimp Paste Dip Set",thai,
253,"ต้มข่าไก่","Tom Kha Gai",thai,
254,"ต้มยำไก่","Tom Yum Chicken",thai,
255,"ต้มยำทะเล","Tom Yum Seafood",thai,
256,"ต้มแซ่บกระดูกหมูอ่อน","Tom Saeb Pork Ribs",thai,
257,"ต้มจืดเต้าหู้หมูสับ","Tofu & Pork Clear Soup",thai,
258,"ต้มจืดมะระยัดไส้","Stuffed Bitter Gourd Soup",thai,
259,"ต้มเล้งแซ่บ","Tom Leng",thai,
260,"แกงจืดวุ้นเส้นหมูสับ","Glass Noodle Clear Soup",thai,
261,"เกาเหลาเนื้อตุ๋น","Stewed Beef Clear Soup",thai,
262,"ผัดกะเพราหมูสับ","Pad Krapow Pork",thai,
263,"ผัดกะเพราไก่","Pad Krapow Chicken",thai,
264,"ผัดกะเพราทะเล","Pad Krapow Seafood",thai,
265,"ข้าวกะเพราไข่ดาว","Krapow Rice w/ Fried Egg",thai,
266,"ผัดพริกแกงหมู","Pork w/ Red Curry Paste",thai,
267,"คะน้าหมูกรอบ","Kale w/ Crispy Pork",thai,
268,"ผัดผักบุ้งไฟแดง","Stir-fried Morning Glory",thai,
269,"ผัดผักรวมมิตร","Stir-fried Mixed Veg",thai,
270,"ผัดเปรี้ยวหวานหมู","Sweet & Sour Pork",thai,
271,"ผัดซีอิ๊วหมู","Pad See Ew Pork",thai,
272,"ราดหน้าหมู","Rad Na Pork",thai,
273,"ผัดมาม่าใส่ไข่","Stir-fried Instant Noodles",thai,
274,"ผัดวุ้นเส้นไก่","Stir-fried Glass Noodles",thai,
275,"หมูทอดกระเทียม","Garlic Fried Pork",thai,
276,"ไก่ผัดเม็ดมะม่วงหิมพานต์","Chicken w/ Cashew Nuts",thai,
277,"เนื้อผัดน้ำมันหอย","Beef w/ Oyster Sauce",thai,
278,"ปลาผัดขึ้นฉ่าย","Fish w/ Celery",thai,
279,"ไข่เจียวหมูสับ","Pork Omelette",thai,
280,"ไข่ลูกเขย","Son-in-law Eggs",thai,
281,"ไข่พะโล้","Egg Stew (Kai Palo)",thai,
282,"หมูพะโล้","Pork Stew (Moo Palo)",thai,
283,"คั่วกลิ้งหมู","Khua Kling Pork",thai,
284,"ผัดสะตอกุ้ง","Stir-fried Sator w/ Shrimp",thai,
285,"หมูฮ้อง","Moo Hong",thai,
286,"ผัดผักกระเฉด","Stir-fried Water Mimosa",thai,
287,"ข้าวคลุกกะปิ","Shrimp Paste Rice",thai,
288,"ข้าวหมูแดง","BBQ Pork Rice",thai,
289,"ข้าวหมูกรอบ","Crispy Pork Rice",thai,
290,"ข้าวขาหมู","Stewed Pork Leg Rice",thai,
291,"ข้าวหน้าเป็ด","Roast Duck Rice",thai,
292,"ข้าวไก่ทอด","Fried Chicken Rice",thai,
293,"ข้าวผัดปู","Crab Fried Rice",thai,
294,"ข้าวผัดกุ้ง","Shrimp Fried Rice",thai,
295,"ข้าวผัดอเมริกัน","American Fried Rice",thai,
296,"ข้าวผัดสับปะรด","Pineapple Fried Rice",thai,
297,"ข้าวยำปักษ์ใต้","Southern Rice Salad",thai,
298,"ข้าวเหนียวหมูปิ้ง","Sticky Rice & Grilled Pork",thai,
299,"ข้าวเหนียวไก่ทอด","Sticky Rice & Fried Chicken",thai,
300,"ข้าวต้มกุ้ง","Rice Soup w/ Shrimp",thai,
301,"โจ๊กหมูไข่","Pork Congee w/ Egg",thai,
302,"ข้าวไข่เจียว","Omelette over Rice",thai,
303,"ข้าวราดแกงสองอย่าง","Rice w/ Curry (2 dishes)",thai,
304,"ก๋วยเตี๋ยวต้มยำหมู","Tom Yum Noodles",thai,
305,"ก๋วยเตี๋ยวเรือ","Boat Noodles",thai,
306,"ก๋วยเตี๋ยวเป็ดตุ๋น","Stewed Duck Noodles",thai,
307,"เย็นตาโฟ","Yen Ta Fo",thai,
308,"บะหมี่เกี๊ยวหมูแดง","Wonton Egg Noodles",thai,
309,"ก๋วยจั๊บน้ำข้น","Kuay Jab",thai,
310,"ขนมจีนน้ำยา","Khanom Jeen Nam Ya",thai,
311,"ขนมจีนน้ำเงี้ยว","Khanom Jeen Nam Ngiao",thai,
312,"ผัดไทยกุ้งสด","Pad Thai w/ Shrimp",thai,
313,"หอยทอด","Oyster Omelette",thai,
314,"ผัดหมี่โคราช","Korat Fried Noodles",thai,
315,"ก๋วยเตี๋ยวคั่วไก่","Stir-fried Noodles w/ Chicken",thai,
316,"หมี่กรอบ","Crispy Mee Krob",thai,
317,"ไก่ย่าง","Grilled Chicken",thai,
318,"หมูปิ้ง","Grilled Pork Skewer",thai,
319,"คอหมูย่าง","Grilled Pork Neck",thai,
320,"หมูสะเต๊ะ","Pork Satay",thai,
321,"ไส้กรอกอีสาน","Isan Sausage",thai,
322,"ไส้อั่ว","Sai Ua (Northern Sausage)",thai,
323,"ไก่ทอดหาดใหญ่","Hat Yai Fried Chicken",thai,
324,"แคบหมู","Pork Rinds",thai,
325,"ลาบหมู","Larb Moo",thai,
326,"ลาบไก่","Larb Gai",thai,
327,"น้ำตกหมู","Nam Tok Moo",thai,
328,"ยำวุ้นเส้น","Glass Noodle Salad",thai,
329,"ยำมาม่า","Instant Noodle Salad",thai,
330,"ยำทะเล","Spicy Seafood Salad",thai,
331,"ยำไข่ดาว","Fried Egg Salad",thai,
332,"พล่ากุ้ง","Spicy Shrimp Salad",thai,
333,"ตำซั่ว","Tum Sua (Noodle Papaya Salad)",thai,
334,"ส้มตำปูปลาร้า","Papaya Salad w/ Crab",thai,
335,"ส้มตำไทยไข่เค็ม","Papaya Salad w/ Salted Egg",thai,
336,"ขนมจีบหมู","Pork Dumplings (3)",thai,
337,"ซาลาเปาไส้หมูสับ","Pork Bun",thai,
338,"ปอเปี๊ยะทอด","Fried Spring Rolls (3)",thai,
339,"ปอเปี๊ยะสด","Fresh Spring Rolls",thai,
340,"เกี๊ยวทอด","Fried Wontons (5)",thai,
341,"ทอดมันกุ้ง","Shrimp Cakes",thai,
342,"ทอดมันปลา","Fish Cakes (Tod Mun)",thai,
343,"ลูกชิ้นปิ้ง","Grilled Meatballs (5)",thai,
344,"ชาเย็น","Thai Iced Tea",drink,
345,"ชาดำเย็น","Iced Black Tea",drink,
346,"กาแฟเย็น","Iced Coffee",drink,
347,"กาแฟดำร้อน","Black Coffee",drink,
348,"เอสเปรสโซ","Espresso",drink,
349,"ลาเต้เย็น","Iced Latte",drink,
350,"คาปูชิโน","Cappuccino",drink,
351,"มอคค่าเย็น","Iced Mocha",drink,
352,"โอเลี้ยง","Oliang (Thai Black Coffee)",drink,
353,"โกโก้เย็น","Iced Cocoa",drink,
354,"นมเย็น","Pink Milk",drink,
355,"นมสด","Fresh Milk",drink,
356,"นมถั่วเหลือง","Soy Milk",drink,
357,"นมช็อกโกแลต","Chocolate Milk",drink,
358,"โยเกิร์ตดื่ม","Drinking Yogurt",drink,
359,"น้ำส้มคั้น","Orange Juice",drink,
360,"น้ำมะนาว","Lime Juice",drink,
361,"น้ำมะพร้าว","Coconut Water",drink,
362,"น้ำอัดลม","Soft Drink (Cola)",drink,
363,"น้ำอัดลมไม่มีน้ำตาล","Diet Soda",drink,
364,"น้ำเปล่า","Water",drink,
365,"ชาเขียวเย็น","Iced Green Tea",drink,
366,"มัทฉะลาเต้","Matcha Latte",drink,
367,"ชานมไข่มุก","Bubble Tea",drink,
368,"น้ำแดงมะนาวโซดา","Red Soda w/ Lime",drink,
369,"น้ำเก๊กฮวย","Chrysanthemum Tea",drink,
370,"น้ำกระเจี๊ยบ","Roselle Juice",drink,
371,"น้ำใบเตย","Pandan Drink",drink,
372,"น้ำแตงโมปั่น","Watermelon Smoothie",drink,
373,"น้ำมะม่วงปั่น","Mango Smoothie",drink,
374,"สมูทตี้ผลไม้รวม","Mixed Fruit Smoothie",drink,
375,"น้ำเต้าหู้","Warm Soy Milk",drink,
376,"ไมโลเย็น","Iced Milo",drink,
377,"น้ำขิง","Ginger Tea",drink,
378,"เบียร์","Beer",drink,
379,"ไวน์แดง","Red Wine",drink,
380,"วิสกี้ (1 ช็อต)","Whisky (shot)",drink,
381,"น้ำลำไย","Longan Juice",drink,
382,"แฮมเบอร์เกอร์","Hamburger",fastfood,
383,"ชีสเบอร์เกอร์","Cheeseburger",fastfood,
384,"เบอร์เกอร์ไก่","Chicken Burger",fastfood,
385,"เฟรนช์ฟรายส์","French Fries",fastfood,
386,"ไก่ทอด (1 ชิ้น)","Fried Chicken (1 pc)",fastfood,
387,"ไก่ป๊อป","Popcorn Chicken",fastfood,
388,"นักเก็ตไก่ (6)","Chicken Nuggets (6)",fastfood,
389,"พิซซ่าชีส (1 ชิ้น)","Cheese Pizza (slice)",fastfood,
390,"พิซซ่าเปปเปอโรนี (1 ชิ้น)","Pepperoni Pizza (slice)",fastfood,
391,"ฮอทดอก","Hot Dog",fastfood,
392,"แซนด์วิชแฮมชีส","Ham & Cheese Sandwich",fastfood,
393,"แซนด์วิชทูน่า","Tuna Sandwich",fastfood,
394,"โดนัทเคลือบ","Glazed Donut",fastfood,
395,"ทาโก้","Taco",fastfood,
396,"เบอร์ริโต","Burrito",fastfood,
397,"ปีกไก่บัฟฟาโล (4)","Buffalo Wings (4)",fastfood,
398,"ฟิชแอนด์ชิปส์","Fish & Chips",fastfood,
399,"หอมทอด","Onion Rings",fastfood,
400,"แรปไก่","Chicken Wrap",fastfood,
401,"คอร์นด็อก","Corn Dog",fastfood,
402,"ชาวารมา","Shawarma",fastfood,
403,"สปาเก็ตตี้มีตบอล","Spaghetti & Meatballs",fastfood,
404,"ไส้กรอกเยอรมัน","German Sausage",fastfood,
405,"มันบด","Mashed Potato",fastfood,
406,"เคบับ","Kebab",fastfood,
407,"ข้าวเหนียวมะม่วง","Mango Sticky Rice",dessert,
408,"บัวลอย","Bua Loy",dessert,
409,"ทับทิมกรอบ","Tab Tim Krob",dessert,
410,"ลอดช่อง","Lod Chong",dessert,
411,"ขนมครก","Khanom Krok",dessert,
412,"ทองหยอด","Thong Yod",dessert,
413,"ฝอยทอง","Foi Thong",dessert,
414,"สังขยาฟักทอง","Pumpkin Custard",dessert,
415,"ขนมชั้น","Khanom Chan",dessert,
416,"วุ้นกะทิ","Coconut Jelly",dessert,
417,"ไอศกรีมกะทิ","Coconut Ice Cream",dessert,
418,"ไอศกรีมวานิลลา","Vanilla Ice Cream",dessert,
419,"ไอศกรีมช็อกโกแลต","Chocolate Ice Cream",dessert,
420,"เค้กช็อกโกแลต","Chocolate Cake",dessert,
421,"ชีสเค้ก","Cheesecake",dessert,
422,"บราวนี่","Brownie",dessert,
423,"แพนเค้ก","Pancakes",dessert,
424,"วาฟเฟิล","Waffle",dessert,
425,"ครัวซองต์","Croissant",dessert,
426,"โรตีกล้วยไข่","Roti w/ Banana & Egg",dessert,
427,"ปาท่องโก๋","Pa Tong Go",dessert,
428,"ขนมโตเกียว","Tokyo Snack",dessert,
429,"คัสตาร์ดไข่","Egg Custard",dessert,
430,"เครปเย็น","Crepe",dessert,
431,"มาการอง","Macaron (2)",dessert,
432,"มะม่วงสุก","Ripe Mango",fruit,
433,"มะม่วงดิบ","Green Mango",fruit,
434,"สับปะรด","Pineapple",fruit,
435,"แตงโม","Watermelon",fruit,
436,"มะละกอสุก","Ripe Papaya",fruit,
437,"กล้วยหอม","Banana",fruit,
438,"กล้วยน้ำว้า","Cultivated Banana",fruit,
439,"ส้ม","Orange",fruit,
440,"องุ่น","Grapes",fruit,
441,"แอปเปิล","Apple",fruit,
442,"ฝรั่ง","Guava",fruit,
443,"ชมพู่","Rose Apple",fruit,
444,"ลำไย","Longan",fruit,
445,"ลิ้นจี่","Lychee",fruit,
446,"เงาะ","Rambutan",fruit,
447,"มังคุด","Mangosteen",fruit,
448,"แก้วมังกร","Dragon Fruit",fruit,
449,"ส้มโอ","Pomelo",fruit,
450,"แคนตาลูป","Cantaloupe",fruit,
451,"เชอร์รี","Cherries",fruit,
452,"กุ้งแม่น้ำเผา","Grilled River Prawn",seafood,
453,"ปูม้านึ่ง","Steamed Blue Crab",seafood,
454,"ปูผัดผงกะหรี่","Crab w/ Curry Powder",seafood,
455,"ปูนิ่มทอดกระเทียม","Fried Soft-shell Crab",seafood,
456,"หอยแมลงภู่อบ","Steamed Mussels",seafood,
457,"หอยนางรมสด (6)","Fresh Oysters (6)",seafood,
458,"ปลากะพงนึ่งมะนาว","Steamed Sea Bass w/ Lime",seafood,
459,"ปลากะพงทอดน้ำปลา","Fried Sea Bass",seafood,
460,"ปลานิลเผา","Grilled Tilapia",seafood,
461,"ปลาทูทอด","Fried Mackerel",seafood,
462,"ปลาซาบะย่าง","Grilled Saba",seafood,
463,"กุ้งทอดกระเทียม","Garlic Fried Shrimp",seafood,
464,"กุ้งอบวุ้นเส้น","Shrimp w/ Glass Noodles",seafood,
465,"ปลาหมึกผัดไข่เค็ม","Squid w/ Salted Egg",seafood,
466,"ปลาดุกย่าง","Grilled Catfish",seafood,
467,"ปลาหมึกกรอบ","Crispy Squid",seafood,
468,"ออส่วน","Or Suan (Oyster Omelette)",seafood,
469,"ลูกชิ้นปลา","Fish Balls",seafood,
470,"ปลาแซลมอนย่าง","Grilled Salmon",seafood,
471,"กั้งกระเทียม","Garlic Mantis Shrimp",seafood,
472,"ข้าวต้มปลากะพง","Sea Bass Rice Soup",thai,
473,"ไข่กระทะ","Pan Eggs (Kai Krata)",thai,
474,"ข้าวไข่ข้น","Creamy Egg over Rice",thai,
475,"สุกี้น้ำรวมมิตร","Suki Soup",thai,
